MeSH Symptom Term,MeSH Disease Term,PubMed occurrence,TFIDF score
Blindness,Acanthamoeba Keratitis,3,3.294415065029849
Vision Disorders,Acanthamoeba Keratitis,2,1.3269788637358182
Sensation Disorders,Acanthamoeba Keratitis,1,0.3433219042716397
"Vision, Low",Acanthamoeba Keratitis,1,2.2560435300466404
Pain,Acanthamoeba Keratitis,1,0.3293867086307401
"Hearing Loss, Sensorineural",Acanthamoeba Keratitis,1,1.2148558604642947
Mental Retardation,Acanthamoeba Keratitis,1,0.9054466840727144
Proteinuria,"Embolism, Cholesterol",8,9.991822188268415
Pain,"Embolism, Cholesterol",6,1.9763202517844407
Cyanosis,"Embolism, Cholesterol",6,10.460457525143198
"Angina, Unstable","Embolism, Cholesterol",5,11.212800898546767
Livedo Reticularis,"Embolism, Cholesterol",4,16.395432680299923
Intermittent Claudication,"Embolism, Cholesterol",4,8.873212808255174
Blindness,"Embolism, Cholesterol",3,3.294415065029849
Vision Disorders,"Embolism, Cholesterol",3,1.9904682956037272
Angina Pectoris,"Embolism, Cholesterol",3,4.358050118072572
Hemoptysis,"Embolism, Cholesterol",3,5.091223090610749
Abdominal Pain,"Embolism, Cholesterol",2,1.6969673562948158
Fever,"Embolism, Cholesterol",2,1.2378752645665936
Dyspnea,"Embolism, Cholesterol",2,2.010443363079234
Cachexia,"Embolism, Cholesterol",2,3.9894480316095446
"Purpura, Thrombotic Thrombocytopenic","Embolism, Cholesterol",1,2.1840386080896974
Diarrhea,"Embolism, Cholesterol",1,0.9231881310823103
Body Weight,Liver Neoplasms,274,93.9786701176656
Abdominal Pain,Liver Neoplasms,103,87.393818849183
Jaundice,Liver Neoplasms,94,136.7429064695115
Fever,Liver Neoplasms,81,50.13394821494704
Pain,Liver Neoplasms,57,18.775042391952187
"Jaundice, Obstructive",Liver Neoplasms,52,129.89748887322892
Obesity,Liver Neoplasms,48,39.96257527851207
Diarrhea,Liver Neoplasms,48,44.3130302919509
Nausea,Liver Neoplasms,47,53.521394485714566
Anoxia,Liver Neoplasms,39,39.077554296591344
"Abdomen, Acute",Liver Neoplasms,36,51.75360469726303
Vomiting,Liver Neoplasms,34,28.679430624463176
Edema,Liver Neoplasms,27,16.088708540777816
Weight Loss,Liver Neoplasms,22,22.00118165038584
Fatigue,Liver Neoplasms,22,25.036289421471444
Anorexia,Liver Neoplasms,20,36.50521227908372
Pain,Skin Ulcer,49,16.139948722906265
Fever,Skin Ulcer,22,13.616627910232527
Edema,Skin Ulcer,11,6.554659035131702
Purpura,Skin Ulcer,10,10.632186059291335
Hypesthesia,Skin Ulcer,10,17.219610441163827
Skin Manifestations,Skin Ulcer,10,6.123572181015575
Paresthesia,Skin Ulcer,9,12.222163315348007
Body Weight,Skin Ulcer,7,2.400914930013355
Anoxia,Skin Ulcer,6,6.011931430244822
"Obesity, Morbid",Skin Ulcer,5,8.764699761872803
Obesity,Skin Ulcer,5,4.162768258178342
Pruritus,Skin Ulcer,4,5.863768433927215
Paralysis,Skin Ulcer,4,1.9378855099313932
Hypergammaglobulinemia,Skin Ulcer,4,6.716500654827742
Neurologic Manifestations,Skin Ulcer,4,0.2797656527013375
Diarrhea,Skin Ulcer,4,3.6927525243292414
Vision Disorders,"Pemphigoid, Benign Mucous Membrane",5,3.3174471593395456
Blindness,"Pemphigoid, Benign Mucous Membrane",5,5.49069177504975
Dyspnea,"Pemphigoid, Benign Mucous Membrane",2,2.010443363079234
Sensation Disorders,"Pemphigoid, Benign Mucous Membrane",1,0.3433219042716397
Dizziness,"Pemphigoid, Benign Mucous Membrane",1,1.3424714224114789
Dysphonia,"Pemphigoid, Benign Mucous Membrane",1,3.4495136121734267
Taste Disorders,"Pemphigoid, Benign Mucous Membrane",1,2.376091572333876
Cachexia,"Pemphigoid, Benign Mucous Membrane",1,1.9947240158047723
Respiratory Sounds,"Pemphigoid, Benign Mucous Membrane",1,1.6392693282712694
"Vision, Low","Pemphigoid, Benign Mucous Membrane",1,2.2560435300466404
Voice Disorders,"Pemphigoid, Benign Mucous Membrane",1,1.66524481467453
Fever,"Pemphigoid, Benign Mucous Membrane",1,0.6189376322832968
Pain,"Pemphigoid, Benign Mucous Membrane",1,0.3293867086307401
Vertigo,"Pemphigoid, Benign Mucous Membrane",1,1.5962519431875786
Purpura,"Pemphigoid, Benign Mucous Membrane",1,1.0632186059291338
Body Weight,"Pneumonia, Progressive Interstitial, of Sheep",1,0.34298784714476505
Weight Gain,"Pneumonia, Progressive Interstitial, of Sheep",1,1.4866897406760522
Ataxia,"Pneumonia, Progressive Interstitial, of Sheep",1,1.2196597127769402
Pain,"Fractures, Open",2,0.6587734172614802
Ophthalmoplegia,"Fractures, Open",2,2.659694538366165
Paralysis,"Fractures, Open",2,0.9689427549656968
"Dyslexia, Acquired","Fractures, Open",1,3.5190396748220376
Paraplegia,"Fractures, Open",1,1.2774792836657665
"Pain, Postoperative","Fractures, Open",1,1.6778553222664596
Diplopia,"Fractures, Open",1,1.6441652988834758
Fever,"Fractures, Open",1,0.6189376322832968
Edema,"Fractures, Open",1,0.5958780941028821
Spasm,"Fractures, Open",1,1.3672774715625755
Cerebrospinal Fluid Rhinorrhea,"Fractures, Open",1,2.677472489143819
"Purpura, Thrombocytopenic, Idiopathic","Fractures, Open",1,1.9338944549569816
Hemianopsia,"Fractures, Open",1,2.082052199386629
Aphasia,"Fractures, Open",1,1.810661814533033
Headache,"Sarcoma, Myeloid",5,4.422821273559453
Paraplegia,"Sarcoma, Myeloid",5,6.387396418328833
Facial Paralysis,"Sarcoma, Myeloid",3,4.071290734891374
"Jaundice, Obstructive","Sarcoma, Myeloid",3,7.494085896532438
Low Back Pain,"Sarcoma, Myeloid",3,4.771263068630356
Pain,"Sarcoma, Myeloid",3,0.9881601258922204
Paraparesis,"Sarcoma, Myeloid",2,4.471772145243321
Abdominal Pain,"Sarcoma, Myeloid",2,1.6969673562948158
Jaundice,"Sarcoma, Myeloid",2,2.9094235419045003
Diplopia,"Sarcoma, Myeloid",2,3.288330597766952
Edema,"Sarcoma, Myeloid",2,1.191756188205764
Weight Loss,"Sarcoma, Myeloid",1,1.0000537113811745
Acute Coronary Syndrome,"Sarcoma, Myeloid",1,2.597960426216085
Diarrhea,"Sarcoma, Myeloid",1,0.9231881310823103
Vocal Cord Paralysis,"Sarcoma, Myeloid",1,1.9877795434519607
Dysuria,"Sarcoma, Myeloid",1,3.836493905607489
Body Weight,Vitamin B 12 Deficiency,61,20.922258675830665
Proteinuria,Vitamin B 12 Deficiency,41,51.20808871487563
Neurologic Manifestations,Vitamin B 12 Deficiency,32,2.2381252216107
Paresthesia,Vitamin B 12 Deficiency,22,29.87639921529513
Memory Disorders,Vitamin B 12 Deficiency,13,19.08396889963069
Ataxia,Vitamin B 12 Deficiency,12,14.635916553323284
Sensation Disorders,Vitamin B 12 Deficiency,11,3.776540946988036
Seizures,Vitamin B 12 Deficiency,10,8.451669255214139
Muscle Hypotonia,Vitamin B 12 Deficiency,9,14.908600212351976
Mental Retardation,Vitamin B 12 Deficiency,8,7.243573472581715
Amblyopia,Vitamin B 12 Deficiency,8,20.50822583835681
Paraplegia,Vitamin B 12 Deficiency,7,8.942354985660367
Fatigue,Vitamin B 12 Deficiency,7,7.9660920886500035
Confusion,Vitamin B 12 Deficiency,7,10.562637478938964
Weight Loss,Vitamin B 12 Deficiency,6,6.000322268287047
Diarrhea,Vitamin B 12 Deficiency,6,5.539128786493863
Fetal Distress,Oligohydramnios,38,98.3611622533882
Birth Weight,Oligohydramnios,14,19.6998332020658
Body Weight,Oligohydramnios,7,2.400914930013355
Hydrops Fetalis,Oligohydramnios,5,11.705001262613035
Fetal Hypoxia,Oligohydramnios,3,8.202675917208806
Fetal Weight,Oligohydramnios,2,7.153337575317348
Abdominal Pain,Oligohydramnios,2,1.6969673562948158
Anoxia,Oligohydramnios,2,2.0039771434149403
Hypercapnia,Oligohydramnios,1,2.1109838219206343
Hyperemesis Gravidarum,Oligohydramnios,1,2.8750827384528637
Oliguria,Oligohydramnios,1,2.6140121352265933
Obesity,Oligohydramnios,1,0.8325536516356681
Colic,Oligohydramnios,1,2.1347473163728203
Pelvic Pain,Pubic Symphysis Diastasis,1,2.0410781251763237
Pain,Pubic Symphysis Diastasis,1,0.3293867086307401
Low Back Pain,Pubic Symphysis Diastasis,1,1.5904210228767852
"Akathisia, Drug-Induced","Akathisia, Drug-Induced",410,1275.4736942106995
Dystonia,"Akathisia, Drug-Induced",16,24.577744536368733
Psychomotor Agitation,"Akathisia, Drug-Induced",15,33.6384026956403
Myoclonus,"Akathisia, Drug-Induced",6,10.650425216581986
Confusion,"Akathisia, Drug-Induced",6,9.053689267661971
Vomiting,"Akathisia, Drug-Induced",5,4.217563327126937
Pain,"Akathisia, Drug-Induced",5,1.6469335431537004
Mental Retardation,"Akathisia, Drug-Induced",4,3.621786736290857
Weight Gain,"Akathisia, Drug-Induced",3,4.4600692220281575
Dyskinesias,"Akathisia, Drug-Induced",3,2.2438562361255703
Dyspnea,"Akathisia, Drug-Induced",3,3.015665044618851
Postoperative Nausea and Vomiting,"Akathisia, Drug-Induced",3,10.260299180901402
Delirium,"Akathisia, Drug-Induced",3,6.251865448598147
Headache,"Akathisia, Drug-Induced",3,2.653692764135672
Seizures,"Akathisia, Drug-Induced",3,2.5355007765642417
Nausea,"Akathisia, Drug-Induced",3,3.4162592224924198
Fever,"Stomatitis, Aphthous",41,25.37644292361517
Pain,"Stomatitis, Aphthous",29,9.552214550291463
Fever of Unknown Origin,"Stomatitis, Aphthous",13,19.151013916723574
Facial Pain,"Stomatitis, Aphthous",7,13.806300146073694
Oral Manifestations,"Stomatitis, Aphthous",6,11.194657697087449
Arthralgia,"Stomatitis, Aphthous",4,5.9092000013048525
Skin Manifestations,"Stomatitis, Aphthous",4,2.44942887240623
Cachexia,"Stomatitis, Aphthous",4,7.978896063219088
Diarrhea,"Stomatitis, Aphthous",3,2.769564393246932
Abdominal Pain,"Stomatitis, Aphthous",3,2.545451034442224
Headache,"Stomatitis, Aphthous",3,2.653692764135672
Oral Hemorrhage,"Stomatitis, Aphthous",3,7.727736866982969
Weight Gain,"Stomatitis, Aphthous",2,2.9733794813521044
Psychophysiologic Disorders,"Stomatitis, Aphthous",2,2.9650112683069563
Weight Loss,"Stomatitis, Aphthous",2,2.0001074227623494
Neck Pain,"Stomatitis, Aphthous",2,3.9175840131574176
Pain,"Burns, Electric",14,4.611413920830361
Paralysis,"Burns, Electric",7,3.391299642379938
Quadriplegia,"Burns, Electric",6,8.214838016961842
Paraplegia,"Burns, Electric",5,6.387396418328833
Unconsciousness,"Burns, Electric",4,3.7118913168225856
Edema,"Burns, Electric",4,2.383512376411528
Facial Paralysis,"Burns, Electric",3,4.071290734891374
Tinnitus,"Burns, Electric",3,5.922100867641977
Myoclonus,"Burns, Electric",3,5.325212608290993
Neurologic Manifestations,"Burns, Electric",3,0.20982423952600315
Seizures,"Burns, Electric",3,2.5355007765642417
"Reflex, Abnormal","Burns, Electric",3,4.2213928290141
Oral Hemorrhage,"Burns, Electric",3,7.727736866982969
Paresthesia,"Burns, Electric",2,2.7160362922995573
Vision Disorders,"Burns, Electric",2,1.3269788637358182
Body Weight,"Burns, Electric",2,0.6859756942895301
Dyspnea,"Heart Failure, Diastolic",7,7.03655177077732
Anoxia,"Heart Failure, Diastolic",2,2.0039771434149403
Obesity,"Heart Failure, Diastolic",2,1.6651073032713362
Angina Pectoris,"Heart Failure, Diastolic",2,2.9053667453817145
Fatigue,"Heart Failure, Diastolic",1,1.1380131555214292
Acute Coronary Syndrome,"Heart Failure, Diastolic",1,2.597960426216085
Albuminuria,"Heart Failure, Diastolic",1,2.0650866652283315
"Cardiac Output, Low","Heart Failure, Diastolic",1,2.1427956495556484
Body Weight,"Heart Failure, Diastolic",1,0.34298784714476505
Diarrhea,Trematode Infections,4,3.6927525243292414
Abdominal Pain,Trematode Infections,3,2.545451034442224
Asthenia,Trematode Infections,2,4.1264385021070735
Pruritus,Trematode Infections,2,2.9318842169636072
Delirium,Trematode Infections,2,4.16791029906543
Neurologic Manifestations,Trematode Infections,2,0.13988282635066876
Body Weight,Trematode Infections,2,0.6859756942895301
Paralysis,Trematode Infections,2,0.9689427549656968
Consciousness Disorders,Trematode Infections,1,0.8771292762243725
Weight Loss,Trematode Infections,1,1.0000537113811745
Pain,Trematode Infections,1,0.3293867086307401
Scotoma,Trematode Infections,1,2.3812066730006465
Fever,Trematode Infections,1,0.6189376322832968
Colic,Trematode Infections,1,2.1347473163728203
Deafness,Trematode Infections,1,1.2285271630622612
Vomiting,Trematode Infections,1,0.8435126654253875
