MeSH Symptom Term,MeSH Disease Term,PubMed occurrence,TFIDF score
Necrolytic Migratory Erythema,Necrolytic Migratory Erythema,4,24.60051533915248
Necrolytic Migratory Erythema,Glucagonoma,3,18.45038650436436
Necrolytic Migratory Erythema,Pancreatic Neoplasms,3,18.45038650436436
Necrolytic Migratory Erythema,Neuroendocrine Tumors,1,6.150128834788118
Necrolytic Migratory Erythema,"Neoplasms, Unknown Primary",1,6.150128834788118
Necrolytic Migratory Erythema,"Diabetes Mellitus, Type 2",1,6.150128834788118
Necrolytic Migratory Erythema,Diabetes Mellitus,1,6.150128834788118
Necrolytic Migratory Erythema,Liver Cirrhosis,1,6.150128834788118
Necrolytic Migratory Erythema,"Skin Diseases, Vesiculobullous",1,6.150128834788118
Hearing Loss,Hearing Loss,3762,3022.9571488710835
Hearing Loss,"Hearing Loss, Conductive",323,259.54682591317385
Hearing Loss,"Hearing Loss, Bilateral",203,163.12076055843434
Hearing Loss,"Hearing Loss, Sensorineural",199,159.90655837994302
Hearing Loss,Deafness,155,124.55033441653852
Hearing Loss,Tinnitus,125,100.44381807785366
Hearing Loss,"Hearing Loss, High-Frequency",118,94.81896426549385
Hearing Loss,"Neuroma, Acoustic",104,83.56925664077423
Hearing Loss,Otitis Media,101,81.15860500690576
Hearing Loss,Otitis Media with Effusion,91,73.12309956067745
Hearing Loss,Meniere Disease,85,68.30179629294051
Hearing Loss,"Abnormalities, Multiple",67,53.83788648972957
Hearing Loss,Dizziness,60,48.213032677369746
Hearing Loss,"Hearing Loss, Noise-Induced",58,46.6059315881241
Hearing Loss,Vertigo,52,41.784628320387114
Hypoventilation,Hypoventilation,635,1601.059348512369
Hypoventilation,Respiratory Insufficiency,172,433.6727684159488
Hypoventilation,Obesity,94,237.00721064592548
Hypoventilation,Sleep Apnea Syndromes,78,196.6655577700233
Hypoventilation,Sleep Disorders,44,110.93954540873108
Hypoventilation,Neuromuscular Diseases,33,83.20465905654831
Hypoventilation,Hyperventilation,33,83.20465905654831
Hypoventilation,Lung Diseases,31,78.16195244706054
Hypoventilation,Apnea,31,78.16195244706054
Hypoventilation,Obesity Hypoventilation Syndrome,30,75.64059914231666
Hypoventilation,"Lung Diseases, Obstructive",29,73.11924583757276
Hypoventilation,"Sleep Apnea, Obstructive",25,63.03383261859721
Hypoventilation,Pulmonary Heart Disease,25,63.03383261859721
Hypoventilation,Alkalosis,22,55.46977270436554
Hypoventilation,Airway Obstruction,21,52.948419399621656
Chills,Bacteremia,4,14.340717909306333
Chills,Melanoma,3,10.75553843197975
Chills,Common Cold,3,10.75553843197975
Chills,"Purpura, Thrombocytopenic, Idiopathic",2,7.1703589546531665
Chills,"Leukemia, Lymphocytic, Chronic, B-Cell",2,7.1703589546531665
Chills,Psoriasis,2,7.1703589546531665
Chills,"Malaria, Vivax",2,7.1703589546531665
Chills,Malaria,2,7.1703589546531665
Chills,Postoperative Complications,2,7.1703589546531665
Chills,Hypotension,2,7.1703589546531665
Chills,Urinary Tract Infections,2,7.1703589546531665
Chills,Sepsis,2,7.1703589546531665
Chills,Kidney Neoplasms,2,7.1703589546531665
Chills,Fabry Disease,2,7.1703589546531665
Chills,"Tuberculosis, Pleural",1,3.5851794773265833
Unconsciousness,Unconsciousness,1034,959.5239053986386
Unconsciousness,Brain Injuries,253,234.7771257890286
Unconsciousness,Craniocerebral Trauma,161,149.4036255021091
Unconsciousness,Epilepsy,66,61.24620672757268
Unconsciousness,Brain Diseases,62,57.5343154107501
Unconsciousness,Seizures,57,52.89445126472186
Unconsciousness,Syncope,54,50.11053277710492
Unconsciousness,Brain Concussion,53,49.18255994789927
Unconsciousness,Coma,52,48.25458711869362
Unconsciousness,Subarachnoid Hemorrhage,40,37.118913168225866
Unconsciousness,Poisoning,35,32.47904902219763
Unconsciousness,Cerebral Hemorrhage,34,31.551076192991985
Unconsciousness,Heart Arrest,34,31.551076192991985
Unconsciousness,Skull Fractures,33,30.62310336378634
Unconsciousness,Cerebrovascular Disorders,31,28.76715770537505
"Gait Disorders, Neurologic","Gait Disorders, Neurologic",1285,2242.0236931164773
"Gait Disorders, Neurologic",Parkinson Disease,233,406.5303661448554
"Gait Disorders, Neurologic",Cerebral Infarction,145,252.9910003905753
"Gait Disorders, Neurologic",Stroke,144,251.2462348706403
"Gait Disorders, Neurologic",Cerebral Palsy,139,242.52240727096532
"Gait Disorders, Neurologic",Spinal Cord Injuries,87,151.79460023434518
"Gait Disorders, Neurologic",Muscle Weakness,72,125.62311743532015
"Gait Disorders, Neurologic","Hydrocephalus, Normal Pressure",56,97.70686911636012
"Gait Disorders, Neurologic",Cognition Disorders,45,78.51444839707509
"Gait Disorders, Neurologic",Paresis,45,78.51444839707509
"Gait Disorders, Neurologic",Dementia,44,76.76968287714007
"Gait Disorders, Neurologic",Parkinsonian Disorders,41,71.53538631733508
"Gait Disorders, Neurologic",Movement Disorders,39,68.04585527746508
"Gait Disorders, Neurologic",Peripheral Nervous System Diseases,30,52.34296559805006
"Gait Disorders, Neurologic",Muscle Spasticity,29,50.59820007811506
Angina Pectoris,Angina Pectoris,14679,21323.939227729094
Angina Pectoris,Coronary Artery Disease,5498,7986.853183054333
Angina Pectoris,Coronary Disease,4776,6938.015787971534
Angina Pectoris,Myocardial Infarction,2890,4198.254947076577
Angina Pectoris,Myocardial Ischemia,1583,2299.597778969627
Angina Pectoris,"Angina, Unstable",815,1183.9369487430486
Angina Pectoris,Hypertension,525,762.6587706627
Angina Pectoris,Coronary Vasospasm,435,631.9172671205229
Angina Pectoris,"Angina Pectoris, Variant",379,550.5669982498349
Angina Pectoris,"Arrhythmias, Cardiac",321,466.31136263376516
Angina Pectoris,Heart Diseases,316,459.0479457703109
Angina Pectoris,Coronary Vessel Anomalies,252,366.076209918096
Angina Pectoris,Coronary Stenosis,247,358.8127930546417
Angina Pectoris,Heart Failure,227,329.75912560082463
Angina Pectoris,Pain,204,296.34740802893486
Snoring,Sleep Apnea Syndromes,730,2014.876470218585
Snoring,"Sleep Apnea, Obstructive",544,1501.4969860259046
Snoring,Sleep Disorders,80,220.80838029792716
Snoring,Airway Obstruction,73,201.4876470218585
Snoring,Hypertension,47,129.7249234250322
Snoring,Nasal Obstruction,43,118.68450441013584
Snoring,Disorders of Excessive Somnolence,40,110.40419014896356
Snoring,Obesity,33,91.08345687289494
Snoring,Postoperative Complications,22,60.72230458192996
Snoring,Respiration Disorders,20,55.20209507448178
Snoring,Cognition Disorders,17,46.92178081330951
Snoring,Asthma,17,46.92178081330951
Snoring,Malocclusion,15,41.401571305861346
Snoring,Cerebrovascular Disorders,15,41.401571305861346
Snoring,Cerebral Infarction,14,38.64146655213725
